Vandportalen - www.vandportalen.dk
Lokalitet:;49.33 Arresø Kanal, I det gamle bådhus, 150 m ns Arresø
Tidsserie:;Vandtemperatur
Drives af Halsnæs Kommune
Dataperiode:;01-01-1917 00:00 - 07-11-2024 00:59 ( UTC +01:00:00 )
ks mrk.:;0= ikke-korrigerede data (rådata)
;1= data udtyndet for outliers
;2= kvalitetskontrolleret data
Udtræksdato: ;29-10-2024 12:39

WSP og dataleverandører til Vandportalen kan ikke drages til ansvar for målingernes rigtighed.

Dato (DK normaltid);Vandtemperatur (C);ks mrk.
24-10-2024 09:09;11.910;0
24-10-2024 09:24;11.910;0
24-10-2024 09:39;11.910;0
24-10-2024 09:54;11.900;0
24-10-2024 10:09;11.900;0
24-10-2024 10:24;11.900;0
24-10-2024 10:39;11.900;0
24-10-2024 10:54;11.900;0
24-10-2024 11:09;11.900;0
24-10-2024 11:24;11.910;0
24-10-2024 11:39;11.910;0
24-10-2024 11:54;11.900;0
24-10-2024 12:09;11.900;0
24-10-2024 12:24;11.900;0
24-10-2024 12:39;11.900;0
24-10-2024 12:54;11.910;0
24-10-2024 13:09;11.900;0
24-10-2024 13:24;11.910;0
24-10-2024 13:39;11.910;0
24-10-2024 13:54;11.910;0
24-10-2024 14:09;11.920;0
24-10-2024 14:24;11.920;0
24-10-2024 14:39;11.920;0
24-10-2024 14:54;11.920;0
24-10-2024 15:09;11.930;0
24-10-2024 15:24;11.930;0
24-10-2024 15:39;11.940;0
24-10-2024 15:54;11.940;0
24-10-2024 16:09;11.940;0
24-10-2024 16:24;11.940;0
24-10-2024 16:39;11.950;0
24-10-2024 16:54;11.950;0
24-10-2024 17:09;11.960;0
24-10-2024 17:24;11.960;0
24-10-2024 17:39;11.960;0
24-10-2024 17:54;11.960;0
24-10-2024 18:09;11.960;0
24-10-2024 18:24;11.960;0
24-10-2024 18:39;11.970;0
24-10-2024 18:54;11.960;0
24-10-2024 19:09;11.970;0
24-10-2024 19:24;11.970;0
24-10-2024 19:39;11.960;0
24-10-2024 19:54;11.960;0
24-10-2024 20:09;11.960;0
24-10-2024 20:24;11.970;0
24-10-2024 20:39;11.970;0
24-10-2024 20:54;11.970;0
24-10-2024 21:09;11.960;0
24-10-2024 21:24;11.950;0
24-10-2024 21:39;11.960;0
24-10-2024 21:54;11.960;0
24-10-2024 22:09;11.960;0
24-10-2024 22:24;11.960;0
24-10-2024 22:39;11.950;0
24-10-2024 22:54;11.950;0
24-10-2024 23:09;11.960;0
24-10-2024 23:24;11.950;0
24-10-2024 23:39;11.950;0
24-10-2024 23:54;11.940;0
25-10-2024 00:09;11.940;0
25-10-2024 00:24;11.950;0
25-10-2024 00:39;11.950;0
25-10-2024 00:54;11.940;0
25-10-2024 01:09;11.940;0
25-10-2024 01:24;11.930;0
25-10-2024 01:39;11.930;0
25-10-2024 01:54;11.940;0
25-10-2024 02:09;11.930;0
25-10-2024 02:24;11.930;0
25-10-2024 02:39;11.920;0
25-10-2024 02:54;11.910;0
25-10-2024 03:09;11.920;0
25-10-2024 03:24;11.920;0
25-10-2024 03:39;11.910;0
25-10-2024 03:54;11.890;0
25-10-2024 04:09;11.890;0
25-10-2024 04:24;11.890;0
25-10-2024 04:39;11.890;0
25-10-2024 04:54;11.880;0
25-10-2024 05:09;11.870;0
25-10-2024 05:24;11.840;0
25-10-2024 05:39;11.850;0
25-10-2024 05:54;11.850;0
25-10-2024 06:09;11.850;0
25-10-2024 06:24;11.820;0
25-10-2024 06:39;11.790;0
25-10-2024 06:54;11.790;0
25-10-2024 07:09;11.800;0
25-10-2024 07:24;11.790;0
25-10-2024 07:39;11.780;0
25-10-2024 07:54;11.770;0
25-10-2024 08:09;11.740;0
25-10-2024 08:24;11.750;0
25-10-2024 08:39;11.750;0
25-10-2024 08:54;11.740;0
25-10-2024 09:09;11.730;0
25-10-2024 09:24;11.720;0
25-10-2024 09:39;11.710;0
25-10-2024 09:54;11.720;0
25-10-2024 10:09;11.710;0
25-10-2024 10:24;11.710;0
25-10-2024 10:39;11.690;0
25-10-2024 10:54;11.700;0
25-10-2024 11:09;11.700;0
25-10-2024 11:24;11.700;0
25-10-2024 11:39;11.720;0
25-10-2024 11:54;11.720;0
25-10-2024 12:09;11.720;0
25-10-2024 12:24;11.720;0
25-10-2024 12:39;11.730;0
25-10-2024 12:54;11.750;0
25-10-2024 13:09;11.750;0
25-10-2024 13:24;11.750;0
25-10-2024 13:39;11.760;0
25-10-2024 13:54;11.760;0
25-10-2024 14:09;11.770;0
25-10-2024 14:24;11.780;0
25-10-2024 14:39;11.770;0
25-10-2024 14:54;11.770;0
25-10-2024 15:09;11.790;0
25-10-2024 15:24;11.780;0
25-10-2024 15:39;11.780;0
25-10-2024 15:54;11.790;0
25-10-2024 16:09;11.790;0
25-10-2024 16:24;11.800;0
25-10-2024 16:39;11.800;0
25-10-2024 16:54;11.810;0
25-10-2024 17:09;11.810;0
25-10-2024 17:24;11.810;0
25-10-2024 17:39;11.800;0
25-10-2024 17:54;11.800;0
25-10-2024 18:09;11.810;0
25-10-2024 18:24;11.810;0
25-10-2024 18:39;11.810;0
25-10-2024 18:54;11.800;0
25-10-2024 19:09;11.800;0
25-10-2024 19:24;11.810;0
25-10-2024 19:39;11.810;0
25-10-2024 19:54;11.800;0
25-10-2024 20:09;11.800;0
25-10-2024 20:24;11.800;0
25-10-2024 20:39;11.790;0
25-10-2024 20:54;11.800;0
25-10-2024 21:09;11.800;0
25-10-2024 21:24;11.790;0
25-10-2024 21:39;11.780;0
25-10-2024 21:54;11.780;0
25-10-2024 22:09;11.770;0
25-10-2024 22:24;11.790;0
25-10-2024 22:39;11.770;0
25-10-2024 22:54;11.760;0
25-10-2024 23:09;11.770;0
25-10-2024 23:24;11.760;0
25-10-2024 23:39;11.760;0
25-10-2024 23:54;11.760;0
26-10-2024 00:09;11.760;0
26-10-2024 00:24;11.750;0
26-10-2024 00:39;11.750;0
26-10-2024 00:54;11.740;0
26-10-2024 01:09;11.740;0
26-10-2024 01:24;11.750;0
26-10-2024 01:39;11.730;0
26-10-2024 01:54;11.720;0
26-10-2024 02:09;11.730;0
26-10-2024 02:24;11.720;0
26-10-2024 02:39;11.720;0
26-10-2024 02:54;11.720;0
26-10-2024 03:09;11.710;0
26-10-2024 03:24;11.710;0
26-10-2024 03:39;11.700;0
26-10-2024 03:54;11.700;0
26-10-2024 04:09;11.700;0
26-10-2024 04:24;11.700;0
26-10-2024 04:39;11.690;0
26-10-2024 04:54;11.690;0
26-10-2024 05:09;11.700;0
26-10-2024 05:24;11.690;0
26-10-2024 05:39;11.700;0
26-10-2024 05:54;11.690;0
26-10-2024 06:09;11.700;0
26-10-2024 06:24;11.700;0
26-10-2024 06:39;11.710;0
26-10-2024 06:54;11.690;0
26-10-2024 07:09;11.700;0
26-10-2024 07:24;11.690;0
26-10-2024 07:39;11.690;0
26-10-2024 07:54;11.690;0
26-10-2024 08:09;11.680;0
26-10-2024 08:24;11.690;0
26-10-2024 08:39;11.700;0
26-10-2024 08:54;11.690;0
26-10-2024 09:09;11.690;0
26-10-2024 09:24;11.700;0
26-10-2024 09:39;11.700;0
26-10-2024 09:54;11.690;0
26-10-2024 10:09;11.700;0
26-10-2024 10:24;11.700;0
26-10-2024 10:39;11.700;0
26-10-2024 10:54;11.710;0
26-10-2024 11:09;11.700;0
26-10-2024 11:24;11.700;0
26-10-2024 11:39;11.700;0
26-10-2024 11:54;11.710;0
26-10-2024 12:09;11.710;0
26-10-2024 12:24;11.720;0
26-10-2024 12:39;11.720;0
26-10-2024 12:54;11.720;0
26-10-2024 13:09;11.720;0
26-10-2024 13:24;11.720;0
26-10-2024 13:39;11.730;0
26-10-2024 13:54;11.730;0
26-10-2024 14:09;11.730;0
26-10-2024 14:24;11.730;0
26-10-2024 14:39;11.740;0
26-10-2024 14:54;11.740;0
26-10-2024 15:09;11.750;0
26-10-2024 15:24;11.750;0
26-10-2024 15:39;11.750;0
26-10-2024 15:54;11.760;0
26-10-2024 16:09;11.760;0
26-10-2024 16:24;11.760;0
26-10-2024 16:39;11.770;0
26-10-2024 16:54;11.770;0
26-10-2024 17:09;11.770;0
26-10-2024 17:24;11.770;0
26-10-2024 17:39;11.780;0
26-10-2024 17:54;11.770;0
26-10-2024 18:09;11.780;0
26-10-2024 18:24;11.780;0
26-10-2024 18:39;11.770;0
26-10-2024 18:54;11.780;0
26-10-2024 19:09;11.780;0
26-10-2024 19:24;11.780;0
26-10-2024 19:39;11.770;0
26-10-2024 19:54;11.770;0
26-10-2024 20:09;11.770;0
26-10-2024 20:24;11.780;0
26-10-2024 20:39;11.770;0
26-10-2024 20:54;11.770;0
26-10-2024 21:09;11.770;0
26-10-2024 21:24;11.780;0
26-10-2024 21:39;11.780;0
26-10-2024 21:54;11.780;0
26-10-2024 22:09;11.770;0
26-10-2024 22:24;11.770;0
26-10-2024 22:39;11.770;0
26-10-2024 22:54;11.770;0
26-10-2024 23:09;11.770;0
26-10-2024 23:24;11.760;0
26-10-2024 23:39;11.760;0
26-10-2024 23:54;11.760;0
27-10-2024 00:09;11.760;0
27-10-2024 00:24;11.760;0
27-10-2024 00:39;11.770;0
27-10-2024 00:54;11.760;0
27-10-2024 01:09;11.760;0
27-10-2024 01:24;11.760;0
27-10-2024 01:39;11.760;0
27-10-2024 01:54;11.770;0
27-10-2024 02:09;11.760;0
27-10-2024 02:24;11.770;0
27-10-2024 02:39;11.770;0
27-10-2024 02:54;11.770;0
27-10-2024 03:09;11.770;0
27-10-2024 03:24;11.780;0
27-10-2024 03:39;11.780;0
27-10-2024 03:54;11.780;0
27-10-2024 04:09;11.770;0
27-10-2024 04:24;11.770;0
27-10-2024 04:39;11.780;0
27-10-2024 04:54;11.780;0
27-10-2024 05:09;11.790;0
27-10-2024 05:24;11.790;0
27-10-2024 05:39;11.800;0
27-10-2024 05:54;11.800;0
27-10-2024 06:09;11.800;0
27-10-2024 06:24;11.810;0
27-10-2024 06:39;11.810;0
27-10-2024 06:54;11.810;0
27-10-2024 07:09;11.810;0
27-10-2024 07:24;11.820;0
27-10-2024 07:39;11.810;0
27-10-2024 07:54;11.810;0
27-10-2024 08:09;11.810;0
27-10-2024 08:24;11.810;0
27-10-2024 08:39;11.810;0
27-10-2024 08:54;11.810;0
27-10-2024 09:09;11.800;0
27-10-2024 09:24;11.800;0
27-10-2024 09:39;11.790;0
27-10-2024 09:54;11.790;0
27-10-2024 10:09;11.780;0
27-10-2024 10:24;11.790;0
27-10-2024 10:39;11.780;0
27-10-2024 10:54;11.760;0
27-10-2024 11:09;11.770;0
27-10-2024 11:24;11.790;0
27-10-2024 11:39;11.780;0
27-10-2024 11:54;11.790;0
27-10-2024 12:09;11.780;0
27-10-2024 12:24;11.790;0
27-10-2024 12:39;11.800;0
27-10-2024 12:54;11.790;0
27-10-2024 13:09;11.800;0
27-10-2024 13:24;11.790;0
27-10-2024 13:39;11.790;0
27-10-2024 13:54;11.800;0
27-10-2024 14:09;11.800;0
27-10-2024 14:24;11.800;0
27-10-2024 14:39;11.800;0
27-10-2024 14:54;11.790;0
27-10-2024 15:09;11.790;0
27-10-2024 15:24;11.800;0
27-10-2024 15:39;11.780;0
27-10-2024 15:54;11.790;0
27-10-2024 16:09;11.780;0
27-10-2024 16:24;11.790;0
27-10-2024 16:39;11.800;0
27-10-2024 16:54;11.790;0
27-10-2024 17:09;11.780;0
27-10-2024 17:24;11.780;0
27-10-2024 17:39;11.770;0
27-10-2024 17:54;11.780;0
27-10-2024 18:09;11.780;0
27-10-2024 18:24;11.770;0
27-10-2024 18:39;11.750;0
27-10-2024 18:54;11.740;0
27-10-2024 19:09;11.730;0
27-10-2024 19:24;11.730;0
27-10-2024 19:39;11.730;0
27-10-2024 19:54;11.720;0
27-10-2024 20:09;11.700;0
27-10-2024 20:24;11.690;0
27-10-2024 20:39;11.680;0
27-10-2024 20:54;11.680;0
27-10-2024 21:09;11.670;0
27-10-2024 21:24;11.640;0
27-10-2024 21:39;11.640;0
27-10-2024 21:54;11.620;0
27-10-2024 22:09;11.610;0
27-10-2024 22:24;11.610;0
27-10-2024 22:39;11.590;0
27-10-2024 22:54;11.590;0
27-10-2024 23:09;11.580;0
27-10-2024 23:24;11.570;0
27-10-2024 23:39;11.560;0
27-10-2024 23:54;11.560;0
28-10-2024 00:09;11.550;0
28-10-2024 00:24;11.540;0
28-10-2024 00:39;11.500;0
28-10-2024 00:54;11.500;0
28-10-2024 01:09;11.490;0
28-10-2024 01:24;11.490;0
28-10-2024 01:39;11.470;0
28-10-2024 01:54;11.450;0
28-10-2024 02:09;11.450;0
28-10-2024 02:24;11.440;0
28-10-2024 02:39;11.420;0
28-10-2024 02:54;11.440;0
28-10-2024 03:09;11.430;0
28-10-2024 03:24;11.390;0
28-10-2024 03:39;11.390;0
28-10-2024 03:54;11.380;0
28-10-2024 04:09;11.370;0
28-10-2024 04:24;11.360;0
28-10-2024 04:39;11.320;0
28-10-2024 04:54;11.320;0
28-10-2024 05:09;11.320;0
28-10-2024 05:24;11.310;0
28-10-2024 05:39;11.280;0
28-10-2024 05:54;11.280;0
28-10-2024 06:09;11.260;0
28-10-2024 06:24;11.260;0
28-10-2024 06:39;11.250;0
28-10-2024 06:54;11.250;0
28-10-2024 07:09;11.240;0
28-10-2024 07:24;11.240;0
28-10-2024 07:39;11.220;0
28-10-2024 07:54;11.230;0
28-10-2024 08:09;11.210;0
28-10-2024 08:24;11.190;0
28-10-2024 08:39;11.210;0
28-10-2024 08:54;11.220;0
28-10-2024 09:09;11.200;0
28-10-2024 09:24;11.210;0
28-10-2024 09:39;11.200;0
28-10-2024 09:54;11.200;0
28-10-2024 10:09;11.190;0
28-10-2024 10:24;11.190;0
28-10-2024 10:39;11.190;0
28-10-2024 10:54;11.190;0
28-10-2024 11:09;11.200;0
28-10-2024 11:24;11.200;0
28-10-2024 11:39;11.170;0
28-10-2024 11:54;11.200;0
28-10-2024 12:09;11.200;0
28-10-2024 12:24;11.210;0
28-10-2024 12:39;11.220;0
28-10-2024 12:54;11.220;0
28-10-2024 13:09;11.220;0
28-10-2024 13:24;11.250;0
28-10-2024 13:39;11.260;0
28-10-2024 13:54;11.250;0
28-10-2024 14:09;11.270;0
28-10-2024 14:24;11.250;0
28-10-2024 14:39;11.270;0
28-10-2024 14:54;11.290;0
28-10-2024 15:09;11.280;0
28-10-2024 15:24;11.300;0
28-10-2024 15:39;11.300;0
28-10-2024 15:54;11.320;0
28-10-2024 16:09;11.320;0
28-10-2024 16:24;11.330;0
28-10-2024 16:39;11.340;0
28-10-2024 16:54;11.330;0
28-10-2024 17:09;11.340;0
28-10-2024 17:24;11.370;0
28-10-2024 17:39;11.390;0
28-10-2024 17:54;11.390;0
28-10-2024 18:09;11.390;0
28-10-2024 18:24;11.390;0
28-10-2024 18:39;11.400;0
28-10-2024 18:54;11.410;0
28-10-2024 19:09;11.410;0
28-10-2024 19:24;11.410;0
28-10-2024 19:39;11.410;0
28-10-2024 19:54;11.410;0
28-10-2024 20:09;11.420;0
28-10-2024 20:24;11.420;0
28-10-2024 20:39;11.420;0
28-10-2024 20:54;11.410;0
28-10-2024 21:09;11.410;0
28-10-2024 21:24;11.420;0
28-10-2024 21:39;11.420;0
28-10-2024 21:54;11.410;0
28-10-2024 22:09;11.400;0
28-10-2024 22:24;11.390;0
28-10-2024 22:39;11.410;0
28-10-2024 22:54;11.410;0
28-10-2024 23:09;11.410;0
28-10-2024 23:24;11.410;0
28-10-2024 23:39;11.400;0
28-10-2024 23:54;11.410;0
29-10-2024 00:09;11.410;0
29-10-2024 00:24;11.400;0
29-10-2024 00:39;11.390;0
29-10-2024 00:54;11.390;0
29-10-2024 01:09;11.410;0
29-10-2024 01:24;11.410;0
29-10-2024 01:39;11.400;0
29-10-2024 01:54;11.400;0
29-10-2024 02:09;11.410;0
29-10-2024 02:24;11.400;0
29-10-2024 02:39;11.390;0
29-10-2024 02:54;11.400;0
29-10-2024 03:09;11.400;0
29-10-2024 03:24;11.400;0
29-10-2024 03:39;11.390;0
29-10-2024 03:54;11.400;0
29-10-2024 04:09;11.400;0
29-10-2024 04:24;11.410;0
29-10-2024 04:39;11.390;0
29-10-2024 04:54;11.410;0
29-10-2024 05:09;11.420;0
29-10-2024 05:24;11.410;0
29-10-2024 05:39;11.410;0
29-10-2024 05:54;11.410;0
29-10-2024 06:09;11.410;0
29-10-2024 06:24;11.410;0
29-10-2024 06:39;11.400;0
29-10-2024 06:54;11.410;0
29-10-2024 07:09;11.420;0
29-10-2024 07:24;11.400;0
29-10-2024 07:39;11.410;0
29-10-2024 07:54;11.410;0
29-10-2024 08:09;11.410;0
29-10-2024 08:24;11.420;0
29-10-2024 08:39;11.410;0
29-10-2024 08:54;11.410;0
29-10-2024 09:09;11.410;0
29-10-2024 09:24;11.420;0
29-10-2024 09:39;11.420;0
29-10-2024 09:54;11.420;0
29-10-2024 10:09;11.420;0
29-10-2024 10:24;11.420;0
