﻿Stedtype;StedID;Stedtekst;GeoZone;x-koordinat;y-koordinat;Kommune;Region;Medie;Vandområde;Dato;Måling nr;Undersøgelsestype;Teknisk anvisning;Dataejer;Link;Målested navn;Målested GeoZone;Målested, x-koordinat;Målested, y-koordinat;Feltmåling Nr;Startdato;Dybde;Parameter;Resultat-attribut;Resultat;Enhed;Kvalitetsmærke
Station;49000042;ARRESØ, kemi;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;17-11-1992;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d74c4e68-9200-4c15-b22e-fd25ee6903f4;Aktivitetssted;32;693898;6209574;1;17-11-1992 10:00:00 +01:00;2;Temperatur; =;3,6;grader C;2
Station;49000042;ARRESØ, kemi;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;11-02-2013;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/1b8bbc2d-852d-44e5-9ac1-309603408820;Aktivitetssted;32;693898;6209574;1;11-02-2013 14:00:00 +01:00;0,2;Temperatur; =;2,2;grader C;2
Station;49000042;ARRESØ, kemi;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;08-03-2010;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/de55e52c-4281-4275-8641-3321c8570db6;Aktivitetssted;32;693898;6209574;1;08-03-2010 12:30:00 +01:00;1;Oxygenmætning; =;106;pct;2
Station;49000042;ARRESØ, kemi;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;30-06-2008;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/9f79ac9e-02bc-480c-ad2a-cd2f71b963f5;Aktivitetssted;32;693898;6209574;1;30-06-2008 10:30:00 +02:00;3;Oxygenmætning; =;97;pct;2
Station;49000042;ARRESØ, kemi;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;15-10-1996;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/dff99ff0-05fe-4f51-a8ca-da5cec3ee2eb;Aktivitetssted;32;693898;6209574;1;15-10-1996 10:50:00 +02:00;4;Temperatur; =;10,7;grader C;2
Station;49000042;ARRESØ, kemi;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;23-05-2000;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/41d75a67-5f3f-4453-9888-de799967d4ca;Aktivitetssted;32;693898;6209574;1;23-05-2000 11:00:00 +02:00;4,5;Oxygenmætning; =;83;pct;2
Station;49000042;ARRESØ, kemi;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;13-03-1991;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/ee583511-fd41-4cfc-a1b2-3390ac735f4c;Aktivitetssted;32;693898;6209574;1;13-03-1991 10:30:00 +01:00;4;Oxygenmætning; =;113;pct;2
Station;49000042;ARRESØ, kemi;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;23-05-2000;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/41d75a67-5f3f-4453-9888-de799967d4ca;Aktivitetssted;32;693898;6209574;1;23-05-2000 11:00:00 +02:00;3;Oxygenmætning; =;86;pct;2
Station;49000042;ARRESØ, kemi;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;11-05-2009;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/3e2d55b1-fc62-439b-96b3-d8c229f75a63;Aktivitetssted;32;693898;6209574;1;11-05-2009 11:00:00 +02:00;2;Oxygenmætning; =;101;pct;2
Station;49000042;ARRESØ, kemi;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;15-06-2020;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/44017a34-4b9b-44a7-ba8a-5dab984bbf4d;Aktivitetssted;32;693898;6209574;1;15-06-2020 10:30:00 +02:00;0,2;Oxygenmætning; =;119;pct;2
Station;49000042;ARRESØ, kemi;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;03-04-2008;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/32d73d5d-9a71-45b0-8b33-d88a82f8bc9c;Aktivitetssted;32;693898;6209574;1;03-04-2008 11:00:00 +02:00;4;Oxygenmætning; =;107;pct;2
Station;49000042;ARRESØ, kemi;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;24-05-1976;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/5c2ad137-c6b8-48c4-b279-1d52e88900ae;Aktivitetssted;32;693898;6209574;1;24-05-1976 09:00:00 +01:00;0,1;Temperatur; =;15;grader C;2
Station;49000042;ARRESØ, kemi;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;06-05-2014;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/56c1a3b3-5d4d-4992-ba4b-9c0bbfe7980e;Aktivitetssted;32;693898;6209574;1;06-05-2014 10:00:00 +02:00;4;Oxygen indhold; =;11;mg/l;2
Station;49000042;ARRESØ, kemi;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;14-07-1992;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/38fcc8bf-3c63-4623-aeca-3b723182b1f8;Aktivitetssted;32;693898;6209574;1;14-07-1992 11:00:00 +02:00;2;Oxygen indhold; =;9,7;mg/l;2
Station;49000042;ARRESØ, kemi;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;08-10-2007;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/0affe4e2-6876-49d3-a014-8b81ada2874f;Aktivitetssted;32;693898;6209574;1;08-10-2007 11:00:00 +02:00;0,2;Oxygen indhold; =;11;mg/l;2
Station;49000042;ARRESØ, kemi;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;30-04-1987;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7a4c1e1e-5f4c-4fcf-8bc7-189d7fe3720f;Aktivitetssted;32;693898;6209574;1;30-04-1987 09:00:00 +02:00;2;Temperatur; =;11,7;grader C;2
Station;49000042;ARRESØ, kemi;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;03-04-2002;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/106d3f62-af1a-46ea-bfe0-750df3704a03;Aktivitetssted;32;693898;6209574;1;03-04-2002 10:45:00 +02:00;1;Temperatur; =;7,5;grader C;2
Station;49000042;ARRESØ, kemi;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;03-05-1989;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/0d2acea4-b589-469a-857f-fa232043930d;Aktivitetssted;32;693898;6209574;1;03-05-1989 09:30:00 +02:00;3;Oxygenmætning; =;126;pct;2
Station;49000042;ARRESØ, kemi;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;05-11-2013;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/93d88e86-7451-40db-8227-0ba51c683122;Aktivitetssted;32;693898;6209574;1;05-11-2013 09:30:00 +01:00;1;Oxygenmætning; =;96;pct;2
Station;49000042;ARRESØ, kemi;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;14-10-2010;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/0a1bb415-1ebc-4eef-a28c-7905c196d180;Aktivitetssted;32;693898;6209574;1;14-10-2010 12:20:00 +02:00;2;Oxygen indhold; =;11;mg/l;2
Station;49000042;ARRESØ, kemi;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;17-06-2024;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/164f73d0-87a8-495e-b93d-e2cc78f83f01;49000042;32;693898,0170014185;6209573,957434575;1;17-06-2024 10:40:10 +02:00;1,98;pH;;8,5498;pH;2
Station;49000042;ARRESØ, kemi;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;31-08-1988;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/854feeed-e594-40d9-9e63-24bc2aaa2520;Aktivitetssted;32;693898;6209574;1;31-08-1988 09:00:00 +02:00;1;Oxygenmætning; =;99;pct;2
Station;49000042;ARRESØ, kemi;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;29-05-2013;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/b75e6377-1ff0-451a-8e7d-7b034a63dc76;Aktivitetssted;32;693898;6209574;1;29-05-2013 14:00:00 +02:00;1;Oxygenmætning; =;84;pct;2
Station;49000042;ARRESØ, kemi;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;07-07-2005;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/2d07a2be-c00b-4e67-b4be-8f2882f33f3c;Aktivitetssted;32;693898;6209574;1;07-07-2005 11:00:00 +02:00;1;Temperatur; =;20,2;grader C;2
Station;49000042;ARRESØ, kemi;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;14-10-2010;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/0a1bb415-1ebc-4eef-a28c-7905c196d180;Aktivitetssted;32;693898;6209574;1;14-10-2010 12:20:00 +02:00;4;Oxygenmætning; =;98;pct;2
Station;49000042;ARRESØ, kemi;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;07-02-2024;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/ab43e44d-ee72-4795-a0f2-47cf6b11b286;Aktivitetssted;32;693897,9998364563;6209574,003611643;1;07-02-2024 11:00:00 +01:00;0,2;Oxygenmætning;;99;pct;2
Station;49000042;ARRESØ, kemi;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;08-03-1989;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/fa1d488f-f698-4cbe-88f3-6a827a70b077;Aktivitetssted;32;693898;6209574;1;08-03-1989 09:00:00 +01:00;1;Oxygenmætning; =;113;pct;2
Station;49000042;ARRESØ, kemi;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;25-07-1985;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/abeeccf0-c5c0-4604-9a1d-8ad4c39ee691;Aktivitetssted;32;693898;6209574;1;25-07-1985 09:00:00 +02:00;1;Oxygenmætning; =;117;pct;2
Station;49000042;ARRESØ, kemi;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;04-01-2000;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/2b6ea1b6-64d7-40ea-8160-19b3e7bd191d;Aktivitetssted;32;693898;6209574;1;04-01-2000 10:20:00 +01:00;4;Oxygenmætning; =;95;pct;2
Station;49000042;ARRESØ, kemi;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;15-10-1985;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/93dc8544-a3b3-4ac2-9765-288985df1dd3;Aktivitetssted;32;693898;6209574;1;15-10-1985 11:30:00 +01:00;3;Oxygen indhold; =;9,7;mg/l;2
Station;49000042;ARRESØ, kemi;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;23-06-2005;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/9a9dab99-c169-419c-865f-9bcf0e92d486;Aktivitetssted;32;693898;6209574;1;23-06-2005 11:00:00 +02:00;4;Oxygenmætning; =;107;pct;2
Station;49000042;ARRESØ, kemi;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;21-08-2012;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c75f9888-b0d3-4d91-9edc-c436c298f4fb;Aktivitetssted;32;693898;6209574;1;21-08-2012 11:27:00 +02:00;0,2;Oxygen indhold; =;9,5;mg/l;2
Station;49000042;ARRESØ, kemi;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;17-10-2006;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/22fe0f51-fc93-4037-a961-82afd1dd71f8;Aktivitetssted;32;693898;6209574;1;17-10-2006 10:30:00 +02:00;4;Temperatur; =;13,4;grader C;2
Station;49000042;ARRESØ, kemi;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;25-04-2000;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d208d2f1-9e17-4b19-9fc4-82926a6ab65a;Aktivitetssted;32;693898;6209574;1;25-04-2000 10:50:00 +02:00;4,7;Oxygenmætning; =;112;pct;2
Station;49000042;ARRESØ, kemi;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;09-12-1993;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/9472cdaf-3bdf-4fcd-881e-9e1a167945dd;Aktivitetssted;32;693898;6209574;1;09-12-1993 11:00:00 +01:00;4;Oxygenmætning; =;95;pct;2
Station;49000042;ARRESØ, kemi;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;14-10-2010;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/0a1bb415-1ebc-4eef-a28c-7905c196d180;Aktivitetssted;32;693898;6209574;1;14-10-2010 12:20:00 +02:00;1;Temperatur; =;10,5;grader C;2
Station;49000042;ARRESØ, kemi;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;20-07-2006;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/2298b819-99d4-472c-a4fd-2210a7453f42;Aktivitetssted;32;693898;6209574;1;20-07-2006 10:15:00 +02:00;2;Oxygenmætning; =;134;pct;1
Station;49000042;ARRESØ, kemi;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;08-04-1998;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/fb955ca5-543a-47bd-aa96-e75184823ade;Aktivitetssted;32;693898;6209574;1;08-04-1998 10:45:00 +02:00;0;Temperatur; =;5,6;grader C;2
Station;49000042;ARRESØ, kemi;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;03-05-1977;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/10f68b56-2fe6-46e8-9210-1b478e73a504;Aktivitetssted;32;693898;6209574;1;03-05-1977 09:00:00 +01:00;1;Oxygenmætning; =;125;pct;2
Station;49000042;ARRESØ, kemi;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;03-05-1993;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/b4c7d4c8-b5f8-4b7c-80d9-e1b684b4b932;Aktivitetssted;32;693898;6209574;1;03-05-1993 10:00:00 +02:00;2;Oxygen indhold; =;14,5;mg/l;2
Station;49000042;ARRESØ, kemi;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;17-10-2006;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/22fe0f51-fc93-4037-a961-82afd1dd71f8;Aktivitetssted;32;693898;6209574;1;17-10-2006 10:30:00 +02:00;3;Oxygen indhold; =;9,7;mg/l;2
Station;49000042;ARRESØ, kemi;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;24-04-2012;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/9646e5ad-4d89-4124-9bfe-17b2e984b01e;Aktivitetssted;32;693898;6209574;1;24-04-2012 13:50:00 +02:00;3;Oxygenmætning; =;112;pct;2
Station;49000042;ARRESØ, kemi;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;09-12-2020;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/f007764a-6e95-437f-b644-2551fe0b10f5;Aktivitetssted;32;693898;6209574;1;09-12-2020 10:00:00 +01:00;4;Oxygen indhold; =;12,5;mg/l;2
Station;49000042;ARRESØ, kemi;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;13-06-2016;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7f263fd6-343a-4480-8924-6f5c21f776eb;Aktivitetssted;32;693898;6209574;1;13-06-2016 10:30:00 +02:00;0,2;Oxygen indhold; =;8,6;mg/l;3
Station;49000042;ARRESØ, kemi;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;24-02-1976;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/f170fef4-3a86-45f5-81be-c0d097ca681d;Aktivitetssted;32;693898;6209574;1;24-02-1976 09:00:00 +01:00;3;Oxygenmætning; =;136;pct;2
Station;49000042;ARRESØ, kemi;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;26-02-1986;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/1db3de68-5ef4-4461-a76b-f81b43d7a494;Aktivitetssted;32;693898;6209574;1;26-02-1986 09:00:00 +01:00;1;Temperatur; =;0,7;grader C;2
Station;49000042;ARRESØ, kemi;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;30-07-1991;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/efa02ddc-e94b-472f-806d-182e0a8fdab4;Aktivitetssted;32;693898;6209574;1;30-07-1991 10:00:00 +02:00;4;Temperatur; =;19,7;grader C;2
Station;49000042;ARRESØ, kemi;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;05-11-2002;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/ae87675d-5089-4013-9687-49c4bfe0ef46;Aktivitetssted;32;693898;6209574;1;05-11-2002 11:00:00 +01:00;0,2;Oxygen indhold; =;11,2;mg/l;2
Station;49000042;ARRESØ, kemi;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;19-11-2018;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/1a2d1ef5-6faa-4803-8135-5646a4ac46b3;Aktivitetssted;32;693898;6209574;1;19-11-2018 10:30:00 +01:00;2;Oxygen indhold; =;12;mg/l;3
Station;49000042;ARRESØ, kemi;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;23-07-2018;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/037b283f-0e57-45d8-97d3-4ce72a78c91a;Aktivitetssted;32;693898;6209574;1;23-07-2018 12:30:00 +02:00;0,2;Temperatur; =;22,6;grader C;3
Station;49000042;ARRESØ, kemi;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;24-06-1998;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/b25959eb-c6e8-4447-9958-9eeef32bdb37;Aktivitetssted;32;693898;6209574;1;24-06-1998 11:50:00 +02:00;3;Oxygen indhold; =;11,7;mg/l;2
Station;49000042;ARRESØ, kemi;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;16-07-2020;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/ee2f6073-34a3-488f-8ee3-7562e6e7c9a4;Aktivitetssted;32;693898;6209574;1;16-07-2020 09:30:00 +02:00;1;Oxygenmætning; =;106;pct;2
Station;49000042;ARRESØ, kemi;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;02-09-2020;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/3904db6d-2702-4e9f-885d-095d574a8828;Aktivitetssted;32;693898;6209574;1;02-09-2020 13:00:00 +02:00;0,2;Temperatur; =;18,1;grader C;2
Station;49000042;ARRESØ, kemi;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;22-04-1998;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/5b07017b-c2b5-44d6-9951-bd601f8043c3;Aktivitetssted;32;693898;6209574;1;22-04-1998 11:00:00 +02:00;2;Oxygen indhold; =;14,9;mg/l;2
Station;49000042;ARRESØ, kemi;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;01-04-1997;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/8159de23-20e0-4698-b370-3c940fd30e89;Aktivitetssted;32;693898;6209574;1;01-04-1997 11:15:00 +02:00;0;Oxygen indhold; =;13,9;mg/l;2
Station;49000042;ARRESØ, kemi;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;04-06-1996;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/eeb90ad9-e49c-40c6-abc5-a8e1b9faa903;Aktivitetssted;32;693898;6209574;1;04-06-1996 10:15:00 +02:00;0,5;Oxygenmætning; =;129;pct;2
Station;49000042;ARRESØ, kemi;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;06-06-2011;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/a44a445a-368a-4ce6-8161-c4a1ab4f9940;Aktivitetssted;32;693898;6209574;1;06-06-2011 11:30:00 +02:00;0,2;Oxygen indhold; =;9,6;mg/l;2
Station;49000042;ARRESØ, kemi;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;29-07-1997;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/096fe165-f560-4d38-a778-f469c6def270;Aktivitetssted;32;693898;6209574;1;29-07-1997 10:45:00 +02:00;0;Temperatur; =;19,6;grader C;2
Station;49000042;ARRESØ, kemi;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;09-10-2024;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/6fe5dbcf-dc05-4d54-bb34-d574ea21b424;49000042;32;693898,0170014185;6209573,957434575;1;09-10-2024 11:10:47 +02:00;0,95;Salinitet;;0,2205;promille;2
Station;49000042;ARRESØ, kemi;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;29-08-2007;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/0f8683b5-7951-46aa-8c46-20f3da9a1128;Aktivitetssted;32;693898;6209574;1;29-08-2007 09:45:00 +02:00;2;Oxygenmætning; =;90;pct;2
Station;49000042;ARRESØ, kemi;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;29-08-2016;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/345262c7-4e8e-4b35-9abe-7a5e575a8988;Aktivitetssted;32;693898;6209574;1;29-08-2016 11:00:00 +02:00;0,2;Oxygenmætning; =;91;pct;3
Station;49000042;ARRESØ, kemi;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;11-08-2008;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/1e2abcc1-350f-4a75-9aef-d7931e1af076;Aktivitetssted;32;693898;6209574;1;11-08-2008 10:15:00 +02:00;3;Oxygen indhold; =;9,6;mg/l;2
Station;49000042;ARRESØ, kemi;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;24-06-1997;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/fcddf962-4565-43f6-97c1-9aca96f7dc5c;Aktivitetssted;32;693898;6209574;1;24-06-1997 10:30:00 +02:00;4;Temperatur; =;17,3;grader C;2
Station;49000042;ARRESØ, kemi;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;03-10-1995;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/1831e179-374c-4eb3-b76b-1dbf402ec2ef;Aktivitetssted;32;693898;6209574;1;03-10-1995 11:15:00 +01:00;0;Temperatur; =;10,2;grader C;2
Station;49000042;ARRESØ, kemi;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;17-08-2010;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/5a1af400-8392-447a-aaae-a0eb806825c0;Aktivitetssted;32;693898;6209574;1;17-08-2010 10:00:00 +02:00;2;Temperatur; =;19,7;grader C;2
Station;49000042;ARRESØ, kemi;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;03-04-2024;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/57b6ff1d-bd64-4439-b3e1-927fa16480ac;49000042;32;693898,0170014185;6209573,957434575;1;03-04-2024 10:15:54 +02:00;1,14;Temperatur;;7,585;grader C;2
Station;49000042;ARRESØ, kemi;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;06-02-2002;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/47cb871a-54c9-4be1-ae88-a1ff838b5cb4;Aktivitetssted;32;693898;6209574;1;06-02-2002 10:15:00 +01:00;0;Oxygen indhold; =;12,2;mg/l;2
Station;49000042;ARRESØ, kemi;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;19-11-2018;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/1a2d1ef5-6faa-4803-8135-5646a4ac46b3;Aktivitetssted;32;693898;6209574;1;19-11-2018 10:30:00 +01:00;4;Temperatur; =;6,7;grader C;3
Station;49000042;ARRESØ, kemi;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;23-05-1990;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/a1d1b2a5-232f-42bb-9072-fed72cf40ea1;Aktivitetssted;32;693898;6209574;1;23-05-1990 10:30:00 +02:00;3,5;Oxygen indhold; =;10,2;mg/l;2
Station;49000042;ARRESØ, kemi;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;07-03-2000;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/269b9fc3-fe7f-495f-bc78-7491dd18d342;Aktivitetssted;32;693898;6209574;1;07-03-2000 10:30:00 +01:00;3;Temperatur; =;3,4;grader C;2
Station;49000042;ARRESØ, kemi;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;20-06-1990;1;Feltmålinger, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/0134d4cc-9fb8-4f35-946e-5b5176b243c9;Aktivitetssted;32;693898;6209574;1;20-06-1990 10:00:00 +02:00;2;Oxygen indhold; =;9,8;mg/l;2
